"ID_REF"	"GSM3581926"	"GSM3581927"	"GSM3581928"	"GSM3581929"	"GSM3581930"	"GSM3581931"	"GSM3581932"	"GSM3581933"	"GSM3581934"	"GSM3581935"	"GSM3581936"	"GSM3581937"
"ASHGV40054120"	2.3945029	4.611448	5.1178055	4.8111615	3.0223393	4.353981	3.598442	2.460818	4.185593	4.013406	3.0276744	3.1916022
"ASHGV40054121"	5.541795	5.850886	5.9919	6.406094	5.2685237	6.3443084	5.815593	5.9935446	5.9006824	5.3675447	5.4326363	5.8001356
"ASHGV40054125"	14.978222	15.984192	15.235831	15.053829	15.422672	15.208567	15.028537	15.11958	15.265077	15.36431	15.226054	14.985417
"ASHGV40054127"	7.0704103	7.406512	7.195698	7.768318	7.786186	8.114732	8.008913	7.9208117	7.8960533	7.5438766	7.821671	7.0509768
"ASHGV40054132"	11.371693	10.283034	12.545829	9.498265	9.398623	7.8383	5.778517	5.949701	4.162027	6.0398707	5.9209495	5.3455276
"ASHGV40054133"	12.459131	12.516209	12.847405	12.649881	12.606308	13.033333	12.749822	12.604162	13.129531	12.766749	12.669522	12.817622
"ASHGV40054134"	10.115257	11.388365	10.122875	10.904437	10.659574	10.863962	10.768479	10.103143	10.937386	10.629066	10.323438	10.611847
"ASHGV40054135"	13.508598	13.897686	13.442091	12.957549	12.634006	12.416211	12.501662	11.903535	12.328435	12.47126	11.873694	12.30406
"ASHGV40054137"	5.9740634	5.81347	5.884204	6.245871	6.082925	5.629284	5.864306	6.3091936	6.2934103	6.2661343	6.3385468	6.3151183
"ASHGV40054141"	6.356765	6.2088323	5.4352355	4.9282823	7.0400023	6.228588	5.118506	6.331828	7.2821684	6.701707	6.3240333	7.089813
"ASHGV40054143"	10.67292	4.3085246	5.59556	10.718193	5.2538133	6.33913	10.105969	6.5908403	6.3870187	10.854864	6.52214	7.289502
"ASHGV40054145"	11.707522	12.084788	12.690498	13.833124	12.546561	10.33374	10.386534	10.837933	10.056785	11.929277	11.874298	10.516639
"ASHGV40054152"	6.7841825	6.89885	7.4368863	6.853602	7.4938936	2.5497591	5.241183	7.218479	4.745853	6.1623015	8.173443	6.957964
"ASHGV40054154"	7.1668005	7.8170815	7.2676992	6.0660906	7.042499	5.092594	5.608008	6.4610047	5.3675447	6.258736	6.843117	6.1518116
"ASHGV40054156"	7.744578	7.6494236	7.5064726	7.341366	7.393162	7.5767484	7.4335055	7.2813582	7.663913	7.2154145	7.319664	7.544079
"ASHGV40054157"	9.039818	8.659852	9.109822	8.5679455	8.715727	9.8685465	9.280208	8.986649	8.325654	9.074422	7.8802834	7.892514
"ASHGV40054162"	8.495991	7.0190625	10.466298	9.586192	10.686531	6.536043	7.638068	10.509207	8.261433	7.6801925	10.798413	10.484637
"ASHGV40054163"	11.396117	11.763388	11.478389	12.042639	12.176468	11.478389	11.612981	12.098423	11.561133	12.108178	12.731649	12.367745
"ASHGV40054164"	17.45835	17.40894	17.592113	17.45361	17.378124	17.108133	17.381771	17.40577	17.23463	17.398123	17.314453	17.334332
"ASHGV40054167"	8.138478	7.765439	8.542358	7.522526	8.477583	5.6316233	6.662067	8.062118	6.042015	6.804335	8.603254	7.764055
"ASHGV40054170"	4.9168153	5.511569	5.279783	5.9002624	4.800712	5.484795	4.1383047	5.061402	4.72774	4.2032146	4.0815983	4.315268
"ASHGV40054173"	6.7264075	12.570805	14.618756	7.306039	14.161258	12.398468	7.1978445	12.442148	13.895983	8.371881	13.43277	15.092232
"ASHGV40054179"	10.011187	9.888306	10.500598	10.199106	10.862356	7.3647275	7.7248063	10.222563	7.771841	8.839682	10.67214	10.042662
"ASHGV40054180"	8.406347	7.076312	8.711005	9.288917	8.584187	7.9063206	7.9667544	8.812547	6.9570446	7.7497716	8.231894	9.064985
"ASHGV40054190"	6.3064923	2.430861	5.28079	6.5057316	2.3900926	4.7674026	5.240647	2.460818	3.7983823	6.0161843	3.0177984	5.865693
"ASHGV40054191"	6.419238	5.2972436	7.535166	8.464639	7.6179624	5.5987597	6.883972	7.526118	5.660018	7.472261	7.907523	7.460458
"ASHGV40054195"	4.211939	2.430861	2.4563587	5.3088207	2.3900926	2.5497591	3.56203	2.460818	2.4100163	3.5730495	2.3774798	2.3771646
"ASHGV40054196"	8.467021	6.8990335	10.165622	10.3642235	10.734309	7.8808656	8.60542	10.122875	8.319009	9.845745	11.139221	10.940676
"ASHGV40054212"	12.325603	13.321	13.103492	13.38852	13.808088	12.499531	13.220738	14.187688	13.180609	14.3264675	14.122601	14.339008
"ASHGV40054214"	7.473729	7.2542067	7.5888157	8.451191	8.331246	9.308227	8.042256	9.260332	9.396263	9.3439455	9.1342945	10.803651
"ASHGV40054229"	4.271712	8.169616	3.402248	4.977669	6.787297	2.5497591	5.3522396	7.44696	3.4466488	5.8770614	7.362201	6.0849075
"ASHGV40054230"	12.230997	13.56682	12.053001	13.178908	13.137627	12.718754	13.658277	13.368249	13.073131	13.530866	13.673634	13.429842
"ASHGV40054231"	11.734474	11.869303	11.153283	11.39435	11.205991	9.384528	11.071126	10.7081375	10.266675	11.060673	10.803651	10.290345
"ASHGV40054232"	6.7442403	6.752221	4.752912	6.6334186	6.702035	6.7320213	5.543818	6.4686203	6.852595	6.712983	6.712279	6.642506
"ASHGV40054234"	10.70989	10.073882	10.41223	10.328625	10.436941	10.870255	10.402016	10.7273035	10.860055	10.499206	10.755109	10.600008
"ASHGV40054235"	9.83797	10.270533	9.364182	10.055152	9.501351	9.986087	10.051666	9.103929	9.548977	9.614099	9.217	9.347718
"ASHGV40054237"	9.146403	6.6174264	10.234853	12.532215	6.520083	7.3880515	11.060939	7.8780613	10.183344	10.868095	5.817271	11.130583
"ASHGV40054238"	12.569583	11.096784	11.948431	11.467724	11.105055	10.163305	10.850468	11.661319	10.7081375	10.574439	10.62226	11.205991
"ASHGV40054239"	6.619681	5.598043	4.692124	10.424441	6.0603166	3.8655272	8.237135	5.8121367	5.4296165	7.7760825	4.1780324	5.169409
